nr;NQ100_H_Classic;type;size;oPrice;cTime;cPrice;hossz(percben);komment;profit$;profit%;calcDate;hozam$;hoz%
1;2019.04.16 12:21;buy;0.10;7657.44000;2019.04.16 22:33;7644.40000;611.0;H_Classic_a[sl];-369.36;-0.07;;-5575.20;-1.77
2;2019.04.16 12:21;buy;0.10;7657.44000;2019.04.16 22:33;7644.40000;611.0;H_Classic_b[sl];-369.36;-0.07;2019.4.16;-8609.33;-2.04
3;2019.04.17 09:00;buy;0.10;7676.26000;2019.04.17 17:00;7676.22000;480.0;H_Classic_a[sl];-1.13;-0.00;;9888.47;2.40
4;2019.04.17 09:00;buy;0.10;7676.26000;2019.04.17 17:00;7676.22000;480.0;H_Classic_b[sl];-1.13;-0.00;2019.4.17;6436.57;1.52
5;2019.04.23 09:00;buy;0.10;7730.45000;2019.04.23 10:05;7717.28000;64.0;H_Classic_b[sl];-374.98;-0.07;;-11299.68;-2.39
6;2019.04.23 09:00;buy;0.10;7730.20000;2019.04.23 10:05;7717.28000;64.0;H_Classic_a[sl];-367.86;-0.07;;12382.19;2.92
7;2019.04.22 19:00;buy;0.10;7698.46000;2019.04.23 17:02;7765.31000;1322.0;H_Classic_a[tp];1886.07;0.36;;-1224.99;-0.33
8;2019.04.22 19:00;buy;0.10;7698.10000;2019.04.23 17:04;7768.33000;1324.0;H_Classic_b[tp];1982.20;0.38;;-11089.36;-2.37
9;2019.04.23 20:00;buy;0.20;7806.06000;2019.04.23 22:36;7805.63000;156.0;H_Classic_b[sl];-24.57;-0.00;;-8664.64;-1.76
10;2019.04.23 20:00;buy;0.20;7805.69000;2019.04.23 22:36;7805.63000;156.0;H_Classic_a[sl];-3.43;-0.00;2019.4.23;474.51;0.10
11;2019.04.23 17:00;buy;0.10;7760.40000;2019.04.24 15:18;7825.24000;1338.0;H_Classic_a[tp];1828.04;0.35;;5242.06;1.03
12;2019.04.23 17:00;buy;0.10;7760.77000;2019.04.24 19:58;7791.45000;1618.0;H_Classic_b[sl];856.44;0.16;2019.4.24;41.41;-0.01
