NQ100;NQ100;H;MSR
darab;lots;hozam;nyerõDb;vesztõDb;tal arány;átl nyerõ;átl vesztõ;RR;profit faktor;friss trédek;mai trédek
15;1.70;5117.14;6;9;40.0;1390.61;-358.50;3.9;2.6;3;0

nap;hétfõ;kedd;szerda;csütörtök;péntek
darab;2;9;3;1;0
hozam;3868.27;1370.67;-1716.94;1595.14;0.00

óra;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
darab;0;1;0;0;0;0;0;0;0;5;0;0;2;1;0;0;0;2;0;2;2;0;0;0
hozam;0.00;195.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;850.04;0.00;0.00;-738.72;-1714.68;0.00;0.00;0.00;2684.48;0.00;3868.27;-28.00;0.00;0.00;0.00

