manual_GOLD;GOLD;;Manuális
darab;lots;hozam;nyerõDb;vesztõDb;tal arány;átl nyerõ;átl vesztõ;RR;profit faktor;friss trédek;mai trédek
22;2.20;-62659.88;7;15;31.8;6948.64;-7420.02;0.9;0.4;5;0

nap;hétfõ;kedd;szerda;csütörtök;péntek
darab;6;5;3;6;2
hozam;23733.14;-37681.91;-20774.01;-25760.43;-2176.67

óra;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
darab;1;0;0;1;0;0;0;2;0;0;1;1;0;1;2;3;1;3;2;1;0;1;0;2
hozam;-4467.12;0.00;0.00;12825.83;0.00;0.00;0.00;19556.74;0.00;0.00;4299.84;-4353.73;0.00;-2320.44;-26037.77;-30043.82;-4997.13;-13778.53;2067.35;-1243.35;0.00;-1671.47;0.00;-12496.28

