nr;manual_GOLD;type;size;oPrice;cTime;cPrice;hossz(percben);komment;profit$;profit%;calcDate;hozam$;hoz%
1;2019.03.28 00:07;buy;0.10;1310.16000;2019.03.28 10:21;1308.59000;613.0;;-4467.12;-1.55;2019.3.28;-4467.12;-1.55
2;2019.04.03 15:34;buy;0.10;1293.49000;2019.04.04 12:58;1291.00000;1283.0;;-7870.61;-1.89;2019.4.4;-7870.61;-1.89
3;2019.04.04 17:09;buy;0.10;1284.20000;2019.04.05 07:00;1287.76000;831.0;;9890.73;2.40;;9890.73;2.40
4;2019.04.05 07:46;buy;0.10;1289.33000;2019.04.05 23:14;1291.58000;927.0;;6438.83;1.53;2019.4.5;6438.83;1.53
5;2019.04.09 15:33;buy;0.10;1305.32000;2019.04.11 14:19;1301.98000;2806.0;[sl];-10549.72;-2.24;;-10549.72;-2.24
6;2019.04.08 07:27;buy;0.10;1296.92000;2019.04.11 14:19;1301.98000;4731.0;[sl];13117.91;3.06;;13117.91;3.06
7;2019.04.11 16:31;buy;0.10;1298.29000;2019.04.11 17:43;1296.54000;71.0;;-4997.13;-1.06;;-4997.13;-1.06
8;2019.04.11 17:14;buy;0.10;1299.39000;2019.04.11 18:23;1294.12000;68.0;[sl];-15053.76;-3.13;2019.4.11;-15053.76;-3.13
9;2019.04.12 17:04;buy;0.10;1294.20000;2019.04.12 19:10;1291.17000;126.0;;-8615.50;-1.75;2019.4.12;-8615.50;-1.75
10;2019.04.15 18:34;buy;0.10;1288.61000;2019.04.15 20:11;1288.78000;97.0;;481.37;0.10;;481.37;0.10
11;2019.04.15 18:01;buy;0.10;1287.84000;2019.04.15 20:28;1288.40000;147.0;;1585.98;0.33;;1585.98;0.33
12;2019.04.15 21:04;buy;0.10;1288.50000;2019.04.15 23:16;1287.91000;132.0;;-1671.47;-0.33;2019.4.15;-1671.47;-0.33
13;2019.04.16 11:40;buy;0.10;1285.09000;2019.04.16 12:08;1283.55000;27.0;;-4353.73;-0.87;;-4353.73;-0.87
14;2019.04.16 13:07;buy;0.10;1284.11000;2019.04.16 13:20;1283.29000;12.0;;-2320.44;-0.47;;-2320.44;-0.47
15;2019.04.16 15:14;buy;0.10;1284.76000;2019.04.16 15:28;1280.65000;14.0;[sl];-11623.49;-2.34;2019.4.16;-11623.49;-2.34
16;2019.04.25 19:16;sell;0.10;1277.37000;2019.04.25 23:05;1277.80000;228.0;;-1243.35;-0.21;2019.4.25;-1243.35;-0.21
17;2019.04.25 23:42;sell;0.10;1276.95000;2019.04.26 09:05;1280.36000;563.0;;-9889.80;-1.72;2019.4.26;-9889.80;-1.72
18;2019.04.29 03:37;sell;0.10;1285.12000;2019.04.29 22:24;1280.68000;1126.0;;12825.83;2.27;2019.4.29;12825.83;2.27
19;2019.04.29 23:38;sell;0.10;1279.55000;2019.04.30 01:24;1280.44000;106.0;;-2606.48;-0.45;;-2606.48;-0.45
20;2019.04.30 14:45;buy;0.10;1286.31000;2019.04.30 23:01;1283.25000;496.0;;-8834.53;-1.46;2019.4.30;-8834.53;-1.46
21;2019.05.01 10:24;buy;0.10;1280.25000;2019.05.01 14:25;1281.74000;240.0;;4299.84;0.71;;4299.84;0.71
22;2019.05.01 14:58;buy;0.10;1282.80000;2019.05.01 21:38;1276.85000;399.0;[sl];-17203.24;-2.73;2019.5.1;-17203.24;-2.73
