robot_Classic;NQ100;H;Classic
darab;lots;hozam;nyerõDb;vesztõDb;tal arány;átl nyerõ;átl vesztõ;RR;profit faktor;friss trédek;mai trédek
12;1.40;5040.93;4;8;33.3;1638.19;-188.98;8.7;4.3;0;0

nap;hétfõ;kedd;szerda;csütörtök;péntek
darab;2;8;2;0;0
hozam;3868.27;1174.92;-2.26;0.00;0.00

óra;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
darab;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;2;2;0;0;0
hozam;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-745.10;0.00;0.00;-738.72;0.00;0.00;0.00;0.00;2684.48;0.00;3868.27;-28.00;0.00;0.00;0.00

