nr;robot_Classic;type;size;oPrice;cTime;cPrice;hossz(percben);komment;profit$;profit%;calcDate;hozam$;hoz%
1;2019.04.16 12:21;;0.10;7657.44000;2019.04.16 22:33;7644.40000;611.0;;-369.36;-0.07;;-5205.84;-1.70
2;2019.04.16 12:21;;0.10;7657.44000;2019.04.16 22:33;7644.40000;611.0;;-369.36;-0.07;;-8239.97;-1.97
3;2019.04.17 09:00;;0.10;7676.26000;2019.04.17 17:00;7676.22000;480.0;;-1.13;-0.00;;9889.60;2.40
4;2019.04.17 09:00;;0.10;7676.26000;2019.04.17 17:00;7676.22000;480.0;;-1.13;-0.00;;6437.70;1.53
5;2019.04.23 09:00;;0.10;7730.45000;2019.04.23 10:05;7717.28000;64.0;;-374.98;-0.07;;-10924.70;-2.32
6;2019.04.23 09:00;;0.10;7730.20000;2019.04.23 10:05;7717.28000;64.0;;-367.86;-0.07;;12750.05;2.99
7;2019.04.22 19:00;;0.10;7698.46000;2019.04.23 17:02;7765.31000;1322.0;;1886.07;0.36;;-3111.06;-0.69
8;2019.04.22 19:00;;0.10;7698.10000;2019.04.23 17:04;7768.33000;1324.0;;1982.20;0.38;;-13071.56;-2.75
9;2019.04.23 20:00;;0.20;7806.06000;2019.04.23 22:36;7805.63000;156.0;;-24.57;-0.00;;-8640.07;-1.76
10;2019.04.23 20:00;;0.20;7805.69000;2019.04.23 22:36;7805.63000;156.0;;-3.43;-0.00;;477.94;0.10
11;2019.04.23 17:00;;0.10;7760.40000;2019.04.24 15:18;7825.24000;1338.0;;1828.04;0.35;;3414.02;0.68
12;2019.04.23 17:00;;0.10;7760.77000;2019.04.24 19:58;7791.45000;1618.0;;856.44;0.16;;-815.03;-0.17
