nr;robot;type;size;oPrice;cTime;cPrice;hossz(percben);komment;profit$;profit%;calcDate;hozam$;hoz%
1;2019.04.16 12:21;;0.10;7657.44000;2019.04.16 22:33;7644.40000;611.0;;-369.36;-0.07;;-5205.84;-1.70
2;2019.04.16 12:21;;0.10;7657.44000;2019.04.16 22:33;7644.40000;611.0;;-369.36;-0.07;;295.99;0.16
3;2019.04.17 09:00;;0.10;7676.26000;2019.04.17 17:00;7676.22000;480.0;;-1.13;-0.00;;915.66;0.32
4;2019.04.17 09:00;;0.10;7676.26000;2019.04.17 17:00;7676.22000;480.0;;-1.13;-0.00;;232.59;0.08
5;2019.04.17 15:00;;0.02;126.54900;2019.04.17 20:45;126.58200;345.0;;166.39;0.03;;796.10;0.25
6;2019.04.23 09:00;;0.10;7730.45000;2019.04.23 10:05;7717.28000;64.0;;-374.98;-0.07;;-8245.59;-1.96
7;2019.04.23 09:00;;0.10;7730.20000;2019.04.23 10:05;7717.28000;64.0;;-367.86;-0.07;;298.15;0.09
8;2019.04.22 19:00;;0.10;7698.46000;2019.04.23 17:02;7765.31000;1322.0;;1886.07;0.36;;2659.07;0.55
9;2019.04.22 19:00;;0.10;7698.10000;2019.04.23 17:04;7768.33000;1324.0;;1982.20;0.38;;1582.86;0.28
10;2019.04.23 20:00;;0.20;7806.06000;2019.04.23 22:36;7805.63000;156.0;;-24.57;-0.00;;9866.16;2.40
11;2019.04.23 20:00;;0.20;7805.69000;2019.04.23 22:36;7805.63000;156.0;;-3.43;-0.00;;208.57;0.05
12;2019.04.23 23:31;;0.60;2936.14000;2019.04.24 06:04;2932.06000;392.0;;-763.18;-0.15;;5675.65;1.38
13;2019.04.23 17:00;;0.10;7760.40000;2019.04.24 15:18;7825.24000;1338.0;;1828.04;0.35;;1694.19;0.32
14;2019.04.24 15:19;;0.60;2936.62000;2019.04.24 15:38;2933.52000;18.0;;-532.65;-0.10;;-618.33;-0.12
15;2019.04.24 12:16;;0.60;2933.80000;2019.04.24 15:38;2933.52000;202.0;;-48.11;-0.01;;-112.12;-0.02
16;2019.04.23 19:30;;0.60;2933.59000;2019.04.24 15:38;2933.52000;1208.0;;-75.42;-0.01;;-116.91;-0.02
17;2019.04.24 07:00;;1.30;2929.49000;2019.04.24 16:30;2932.11000;570.0;;977.76;0.19;;937.02;0.18
18;2019.04.23 17:00;;0.10;7760.77000;2019.04.24 19:58;7791.45000;1618.0;;856.44;0.16;;929.28;0.18
19;2019.04.25 05:15;;0.04;1.34899;2019.04.25 07:30;1.34909;135.0;;85.46;0.01;;411.15;0.09
20;2019.04.25 15:10;;0.03;1.35024;2019.04.26 07:20;1.34821;970.0;;-1297.84;-0.22;;-743.54;-0.09
21;2019.04.30 01:00;;0.10;7787.75000;2019.04.30 05:43;7780.97000;283.0;;195.75;0.03;;860.09;0.20
22;2019.04.29 19:00;;0.01;1.34477;2019.05.01 18:01;1.34211;2821.0;;533.74;0.09;;4487.44;1.49
23;2019.05.01 13:00;;0.10;7840.77000;2019.05.01 22:34;7781.59000;574.0;;-1714.68;-0.27;;2374.46;1.17
24;2019.04.25 16:00;;0.20;7428.32000;2019.05.02 09:59;7366.46000;9719.0;;4579.32;0.78;;8904.94;2.30
25;2019.05.02 09:00;;0.10;7747.64000;2019.05.02 19:05;7692.62000;605.0;;1595.14;0.27;;9268.88;2.97
